X,Y,Z
-3.5468,-26.8066,-2.7257
-3.7518,-26.825,-2.8249
-3.6818,-26.7914,-2.7605
-3.6113,-26.7571,-2.6967
-3.8121,-26.777,-2.7946
-3.742,-26.7425,-2.7316
-3.672,-26.7084,-2.668
-3.9411,-26.7501,-2.8145
-3.8701,-26.7153,-2.7504
-3.7992,-26.6808,-2.6859
-3.7288,-26.6457,-2.6239
-4.0801,-26.7243,-2.84
-4.0098,-26.6901,-2.7759
-3.9391,-26.6552,-2.7124
-3.7951,-26.5836,-2.5848
-3.6303,-26.871,-2.8321
-3.4855,-26.8056,-2.7055
-3.3399,-26.7384,-2.5814
-3.1927,-26.6692,-2.4593
-3.2484,-26.8227,-2.6357
-3.1752,-26.7891,-2.5736
-3.1014,-26.7547,-2.5122
-3.094,-26.8677,-2.6268
-3.0218,-26.8347,-2.5658
-3.0796,-26.9674,-2.7296
-3.0078,-26.9352,-2.6673
-2.9916,-27.0328,-2.7665
-2.9194,-27.0003,-2.7045
-2.8471,-26.9677,-2.6425
-2.9064,-27.1028,-2.8136
-2.8346,-27.071,-2.7507
-2.7623,-27.0384,-2.6886
-2.7442,-27.1443,-2.8018
-2.6722,-27.1122,-2.7391
-2.4849,-27.2616,-2.8465
-2.0606,-27.5541,-3.0538
-1.4382,-27.5381,-2.8054
-1.8225,-27.5642,-2.9726
-2.1518,-27.5502,-3.0767
-2.0805,-27.5212,-3.0129
-1.8625,-27.4321,-2.819
-1.7163,-27.3708,-2.693
-1.6427,-27.3393,-2.631
-2.1978,-27.4199,-2.9277
-2.1256,-27.3901,-2.8643
-2.0536,-27.3605,-2.8008
-1.9814,-27.3304,-2.7381
-1.7631,-27.2376,-2.5534
-2.3194,-27.325,-2.8567
-2.2466,-27.2952,-2.7922
-2.1732,-27.2644,-2.7292
-2.0996,-27.2331,-2.6669
-2.0262,-27.202,-2.6043
-1.952,-27.1698,-2.5431
-1.8776,-27.1375,-2.4819
-2.4374,-27.2303,-2.7878
-2.3648,-27.2,-2.725
-2.2922,-27.1696,-2.6625
-2.2187,-27.1377,-2.602
-2.1454,-27.106,-2.5411
-2.072,-27.0744,-2.4802
-1.9982,-27.0422,-2.4199
-2.6952,-27.1915,-2.8359
-2.6226,-27.1606,-2.7745
-2.5487,-27.1294,-2.7115
-2.4007,-27.0661,-2.5871
-2.2517,-27.0011,-2.4651
-2.653,-27.031,-2.6391
-2.5796,-26.9993,-2.5779
-2.5059,-26.9673,-2.5172
-2.432,-26.9349,-2.4569
-2.3576,-26.9017,-2.3975
-2.2828,-26.8682,-2.3382
-2.7549,-26.9367,-2.5744
-2.6803,-26.9041,-2.513
-2.6054,-26.871,-2.4523
-2.456,-26.8038,-2.3338
-2.3819,-26.7705,-2.2751
-3.1385,-26.9737,-2.7546
-2.8425,-26.8446,-2.5084
-2.7681,-26.8111,-2.4488
-2.6935,-26.7776,-2.3894
-2.6188,-26.7439,-2.33
-2.4676,-26.6745,-2.213
-3.2884,-26.917,-2.7488
-2.9208,-26.7547,-2.4454
-2.8469,-26.7213,-2.3866
-2.7724,-26.687,-2.3288
-2.6979,-26.6527,-2.2707
-2.6231,-26.6183,-2.2125
-2.5473,-26.5826,-2.1556
-3.3628,-26.8279,-2.6804
-3.066,-26.695,-2.4382
-2.9913,-26.6611,-2.3784
-2.916,-26.6264,-2.3198
-2.8408,-26.5918,-2.2609
-2.7646,-26.5558,-2.2034
-2.6899,-26.5208,-2.1465
-2.6144,-26.4849,-2.0903
-4.1883,-24.4474,-1.3429
-4.3155,-24.3734,-1.3444
-4.4541,-24.312,-1.3523
-4.3731,-24.2608,-1.321
-4.5217,-24.2098,-1.3343
-4.44,-24.1578,-1.3033
-4.3581,-24.1054,-1.2734
-4.7465,-24.2271,-1.3828
-4.6658,-24.176,-1.351
-4.585,-24.1246,-1.3203
-4.4231,-24.0202,-1.2624
-4.8572,-24.2129,-1.4007
-4.6936,-24.1092,-1.337
-4.6118,-24.0567,-1.3067
-4.53,-24.0039,-1.2774
-4.4478,-23.9502,-1.2496
-4.9469,-24.208,-1.4171
-4.7038,-24.0534,-1.3233
-4.6228,-24.0011,-1.2941
-5.0026,-24.2181,-1.4312
-4.9222,-24.1675,-1.3984
-4.8416,-24.1162,-1.3674
-4.7594,-24.0636,-1.3365
-4.5952,-23.9574,-1.2774
-4.4303,-23.8491,-1.223
-5.019,-24.2945,-1.4603
-4.3708,-23.8805,-1.2191
-5.0011,-24.3659,-1.482
-4.9204,-24.3164,-1.4469
-4.8398,-24.2663,-1.4134
-4.3498,-23.9543,-1.2317
-4.9604,-24.4475,-1.5021
-4.88,-24.3986,-1.4666
-4.3122,-24.0423,-1.2467
-4.2313,-23.9901,-1.2192
-4.9096,-24.5324,-1.5231
-4.8297,-24.4842,-1.4868
-4.7486,-24.4352,-1.4507
-4.6674,-24.3852,-1.4167
-4.5864,-24.3351,-1.3837
-4.5058,-24.285,-1.3516
-4.4234,-24.2333,-1.3199
-4.3427,-24.1821,-1.2905
-4.2606,-24.1299,-1.2606
-4.1786,-24.0777,-1.2315
-4.8249,-24.6221,-1.5395
-4.6625,-24.5249,-1.4653
-4.5819,-24.4761,-1.4299
-4.5012,-24.4265,-1.3965
-4.1731,-24.2217,-1.2694
